Abbeville,Aiken,Allendale,Anderson,Bamberg,Barnwell,Beaufort,Berkeley,Calhoun,Charleston,Cherokee,Chester,Chesterfield,Clarendon,Colleton,Darlington,Dillon,Dorchester,Edgefield,Fairfield,Florence,Georgetown,Greenville,Greenwood,Hampton,Horry,Jasper,Kershaw,Lancaster,Laurens,Lee,Lexington,Marion,Marlboro,McCormick,Newberry,Oconee,Orangeburg,Pickens,Richland,Saluda,Spartanburg,Sumter,Union,Williamsburg,York
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,14.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,18.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,23.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,26.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,0.0,30.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,1.0,0.0,6.0,0.0,0.0,8.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,8.0,0.0,37.0,3.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,22.0,1.0,1.0,1.0,0.0,0.0,1.0
1.0,1.0,0.0,10.0,0.0,0.0,12.0,1.0,1.0,10.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,17.0,2.0,0.0,9.0,0.0,43.0,3.0,0.0,1.0,12.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,28.0,1.0,2.0,3.0,0.0,0.0,2.0
1.0,1.0,0.0,10.0,0.0,0.0,14.0,2.0,1.0,14.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,19.0,2.0,1.0,11.0,0.0,44.0,5.0,0.0,1.0,12.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,31.0,1.0,2.0,3.0,0.0,0.0,4.0
1.0,1.0,0.0,15.0,0.0,0.0,21.0,4.0,1.0,31.0,0.0,1.0,0.0,4.0,2.0,5.0,1.0,2.0,1.0,1.0,3.0,2.0,31.0,2.0,1.0,16.0,0.0,54.0,7.0,0.0,2.0,17.0,0.0,1.0,0.0,1.0,1.0,8.0,1.0,45.0,1.0,3.0,4.0,0.0,0.0,7.0
1.0,2.0,0.0,16.0,0.0,0.0,22.0,4.0,1.0,36.0,0.0,1.0,1.0,5.0,2.0,6.0,1.0,3.0,1.0,1.0,5.0,2.0,39.0,2.0,1.0,19.0,1.0,58.0,7.0,0.0,2.0,17.0,0.0,2.0,0.0,1.0,1.0,8.0,1.0,49.0,1.0,4.0,8.0,0.0,0.0,11.0
3.0,2.0,0.0,19.0,0.0,0.0,26.0,5.0,1.0,52.0,0.0,1.0,3.0,5.0,2.0,6.0,1.0,4.0,1.0,2.0,5.0,2.0,50.0,2.0,1.0,20.0,1.0,63.0,7.0,0.0,2.0,17.0,1.0,2.0,0.0,1.0,1.0,9.0,6.0,63.0,1.0,9.0,10.0,1.0,1.0,18.0
4.0,4.0,0.0,21.0,0.0,0.0,29.0,8.0,1.0,60.0,0.0,1.0,3.0,5.0,2.0,6.0,1.0,4.0,1.0,3.0,5.0,3.0,51.0,2.0,1.0,21.0,2.0,64.0,8.0,0.0,2.0,19.0,1.0,2.0,0.0,1.0,1.0,11.0,6.0,64.0,1.0,9.0,10.0,1.0,1.0,19.0
4.0,6.0,0.0,21.0,0.0,0.0,35.0,10.0,1.0,92.0,0.0,2.0,3.0,6.0,3.0,6.0,1.0,9.0,1.0,3.0,11.0,3.0,51.0,2.0,1.0,24.0,2.0,70.0,9.0,0.0,2.0,24.0,1.0,2.0,0.0,1.0,2.0,12.0,7.0,69.0,1.0,16.0,10.0,1.0,1.0,19.0
4.0,7.0,0.0,25.0,0.0,0.0,39.0,13.0,1.0,108.0,0.0,3.0,3.0,7.0,5.0,6.0,1.0,10.0,1.0,3.0,12.0,6.0,57.0,3.0,1.0,28.0,2.0,77.0,10.0,2.0,5.0,29.0,1.0,2.0,0.0,2.0,2.0,14.0,10.0,85.0,1.0,21.0,24.0,1.0,2.0,32.0
4.0,9.0,0.0,30.0,0.0,0.0,50.0,13.0,2.0,116.0,0.0,3.0,3.0,16.0,5.0,8.0,1.0,10.0,2.0,3.0,13.0,10.0,71.0,3.0,1.0,31.0,2.0,82.0,14.0,3.0,5.0,34.0,1.0,3.0,0.0,2.0,3.0,16.0,11.0,102.0,1.0,25.0,30.0,1.0,2.0,37.0
4.0,9.0,0.0,32.0,0.0,1.0,74.0,13.0,2.0,122.0,0.0,5.0,3.0,18.0,6.0,9.0,1.0,12.0,2.0,4.0,14.0,11.0,88.0,3.0,1.0,32.0,2.0,98.0,15.0,3.0,5.0,40.0,2.0,3.0,0.0,2.0,3.0,21.0,13.0,142.0,1.0,30.0,34.0,3.0,2.0,44.0
5.0,13.0,0.0,40.0,2.0,1.0,91.0,14.0,3.0,141.0,0.0,5.0,3.0,25.0,6.0,9.0,1.0,17.0,2.0,5.0,18.0,13.0,106.0,5.0,1.0,37.0,2.0,104.0,16.0,3.0,5.0,53.0,2.0,3.0,0.0,2.0,4.0,22.0,14.0,155.0,1.0,37.0,39.0,3.0,2.0,57.0
